iter	RMSE
0	0.9910759414
1	0.9787733901
2	0.9683344405
3	0.9576355501
4	0.9469245482
5	0.9383771713
6	0.9287296814
7	0.9202874667
8	0.9141372598
9	0.9065066382
10	0.8998165565
11	0.893829238
12	0.8872952031
13	0.8810834892
14	0.876004875
15	0.8714070892
16	0.8661016655
17	0.8616221535
18	0.8566513523
19	0.8520739101
20	0.8483900308
21	0.8443793407
22	0.8408838052
23	0.8382496652
24	0.8345795317
25	0.8314285287
26	0.8280057171
27	0.8252972384
28	0.823525753
29	0.821627986
30	0.8197179605
31	0.8174064935
32	0.8153460472
33	0.8127633688
34	0.8104889447
35	0.8081633244
36	0.8058808049
37	0.803876929
38	0.8020303995
39	0.8001748908
40	0.7985446379
41	0.7967750705
42	0.7950148386
43	0.7938416391
44	0.792267286
45	0.7909625544
46	0.7891890057
47	0.7878052446
48	0.7863948641
49	0.7849636265
50	0.7833360496
51	0.7820485288
52	0.7809436254
53	0.7795070749
54	0.7782036888
55	0.7772484417
56	0.7764299406
57	0.7749454819
58	0.773764051
59	0.7726740018
60	0.7714394264
61	0.7704527361
62	0.7695957478
63	0.7686047665
64	0.7676407546
65	0.7666221464
66	0.7653796171
67	0.7647097057
68	0.7636377514
69	0.7630002837
70	0.7619777258
71	0.7611183389
72	0.7604954777
73	0.7598069033
74	0.7590447795
75	0.7580739063
76	0.7571348593
77	0.7562745888
78	0.7556458814
79	0.7549161994
80	0.754262412
81	0.7533162994
82	0.7525553973
83	0.7517868946
84	0.7510967077
85	0.7502209364
86	0.7494126802
87	0.7489164551
88	0.7481619236
89	0.7475461309
90	0.746956849
91	0.7462011109
92	0.7453559534
93	0.744734597
94	0.7440625106
95	0.7431483834
96	0.7427246598
97	0.741996462
98	0.7411765919
99	0.7405964533
100	0.7400248132
101	0.7394813135
102	0.7389915259
103	0.7382179834
104	0.737643455
105	0.7371492725
106	0.7367014548
107	0.736240154
108	0.7357699134
109	0.7351910693
110	0.7345446455
111	0.7338746268
112	0.733255557
113	0.7327560947
114	0.7323522013
115	0.7318890661
116	0.7314130979
117	0.7309594315
118	0.7306152309
119	0.7300165367
120	0.7294742259
121	0.7288784858
122	0.7282801225
123	0.7276837274
124	0.7271239694
125	0.7266928894
126	0.7260248976
127	0.7256005964
128	0.7251357261
129	0.724431144
130	0.7239025541
131	0.7232004953
132	0.722735679
133	0.7221565406
134	0.7215485679
135	0.7209059247
136	0.7205416431
137	0.7200402417
138	0.7196826952
139	0.7193513722
140	0.7189198536
141	0.7185214512
142	0.7179890723
143	0.7175530087
