iter	Passed	Remaining
0	1	1425
1	2	1306
2	4	1378
3	5	1331
4	6	1380
5	8	1356
6	9	1329
7	10	1329
8	12	1331
9	13	1320
10	14	1317
11	15	1304
12	17	1306
13	18	1301
14	19	1292
15	20	1281
16	22	1297
17	23	1299
18	25	1292
19	26	1293
20	27	1290
21	29	1293
22	30	1295
23	31	1295
24	33	1287
25	34	1284
26	35	1284
27	36	1277
28	37	1272
29	39	1276
30	40	1271
31	41	1268
32	43	1268
33	44	1265
34	45	1266
35	47	1262
36	48	1260
37	49	1256
38	50	1253
39	52	1251
40	53	1249
41	54	1247
42	55	1243
43	57	1239
44	58	1234
45	59	1232
46	60	1233
47	62	1231
48	63	1234
49	65	1235
50	66	1234
51	67	1232
52	68	1232
53	70	1233
54	71	1231
55	72	1229
56	78	1294
57	79	1296
58	81	1292
59	82	1288
60	83	1285
61	84	1282
62	86	1280
63	87	1282
64	89	1281
65	90	1277
66	91	1274
67	92	1270
68	93	1268
69	96	1275
70	97	1271
71	98	1268
72	99	1265
73	100	1261
74	102	1260
75	103	1258
76	104	1255
77	106	1253
78	107	1252
79	108	1251
80	110	1248
81	111	1252
82	113	1249
83	114	1246
84	115	1244
85	117	1243
86	118	1240
87	119	1239
88	120	1237
89	122	1234
90	123	1232
91	124	1230
92	126	1235
93	128	1233
94	129	1232
95	130	1229
96	131	1226
97	133	1224
98	134	1221
99	135	1219
100	137	1228
101	139	1226
102	140	1226
103	142	1225
104	143	1224
105	145	1223
106	146	1221
107	147	1219
108	149	1218
109	150	1216
110	151	1214
111	152	1212
112	154	1209
113	155	1207
114	156	1205
115	158	1204
116	159	1202
117	160	1203
118	162	1202
119	163	1201
120	165	1198
121	166	1197
122	167	1197
123	169	1197
124	170	1195
125	172	1195
126	173	1195
127	175	1194
128	176	1194
129	178	1193
130	179	1192
131	181	1191
132	182	1190
133	184	1189
134	185	1190
135	187	1189
136	189	1191
137	190	1190
138	192	1190
139	193	1188
140	195	1188
141	196	1186
142	197	1185
143	199	1184
144	200	1183
145	202	1187
146	204	1187
147	206	1187
148	207	1187
149	209	1187
150	210	1186
151	212	1184
152	213	1184
153	215	1182
154	216	1180
155	217	1179
156	219	1178
157	220	1176
158	222	1175
159	223	1174
160	225	1174
161	226	1173
